ORDER,Type,Representing Country/Organization,Name,Function
3,Host Member State,Belgium FPS,Mr Jozef Smets,"Director and Counselor, Federal Public Service Foreign Affairs, DG Bilateral Affairs - Africa South of the Sahara section"
3,Host Member State,Belgium FPS,Mrs Annick De Smedt,"Attaché, Federal Public Service Foreign Affairs, DG Bilateral Affairs - Africa South of the Sahara section"
3,Host Member State,Belgium FPS,Mr Alexis De Crombrugghe,"Counselor, Federal Public Service Foreign Affairs, DG Legal Affairs - Diplomatic and Consular Law/ Law of the Sea section"
3,Host Member State,Belgium FPS,Mr Reginald Goossens,"Attaché, Federal Public Service Foreign Affairs, DG Bilateral Affairs - Southern and Eastern Asia, Oceania section"
3,Host Member State,Belgium FPS,Mr Peter D’Huys,"Secretary of Embassy, Federal Public Service Foreign Affairs, DG Bilateral Affairs - Southern and Eastern Asia, Oceania section"
3,Host Member State,Belgium FPS,Mr Peter Van De Velde,"Director, Federal Public Service Foreign Affairs, DG Bilateral Affairs - Amercia & Carribean section"
3,Host Member State,Belgium FPS,Mr Benoit Adam,"Policy Advisor, Federal Public Service Mobility, DG Shipping"
3,Host Member State,Belgium FPS,Mrs Sonia Bogaerts,"Senior Strategic Advisor, DG Shipping FPS Mobility and Transport"
3,Host Member State,Belgium FPS,Ms Emilie Houbotte,"Secretary, Federal Public Service Foreign Affairs, DG Multilateral Affairs - United Nations Department"
3,Host Member State,Belgium FPS,Mrs Sunita Verlinden, Federal Public Service Foreign Affairs, DG Multilateral Affairs - United Nations Department 
3,Host Member State,Belgium FPS,Mrs Sophie Deprit,"Intern, Federal Public Service Foreign Affairs, Press and Communication"
3,Host Member State,Belgium - Flanders,Mr Gert Verreet,"Policy Advisor, Flanders Department of Economy, Science and Innovation, IOC national focal point for Belgium"
4,European Union,,Mr Peter Nagy,"EU negotiation team - cross-cutting issues, Slovakia"
4,European Union,,Mr Gonçalo Motta,MFA Portugal - Dipomat
4,European Union,,Mrs Wini Broadbelt,Min. Environment Netherlands - BBNJ Lead Negotiator EIAs 
4,European Union,,Mr René Reisner,Min. Environment Estonia - BBNJ Issue Leader EIAs
4,European Union,,Mr Piotr Czepulonis,Attaché responsible for the Law of the Sea, Legal and Treaty Department, MFA of the Republic of Poland
4,European Union,,Mr Konrad Marciniak,MFA Poland - BBNJ Lead Negotiator MGRs
4,European Union,,Mr Carl Grainger,MFA Ireland - BBNJ Issue Leader capacity building 
4,European Union,,Mrs Carmen Mifsud,"EU Presidency Malta, COMAR Working Party President BBNJ Lead"
5,Intergovernmental Organizations,European Commission,Mr Matthias-Leonhard (Leo) Maier,Policy Officer - Access and Benefit Sharing under the Nagoya Protocol and Ocean Governance/ Unit « 3.Multilatéral Environmental Cooperation »/Dir. F – Global Sustainable development
5,Intergovernmental Organizations,European Commission,Mr Marc Richir,Senior Expert - Whaling and Marine issues/ Unit « 3.Multilatéral Environmental Cooperation »/Dir. F – Global Sustainable development
5,Intergovernmental Organizations,European Commission,Mr Andreas Papaconstantinou ,"Head of Unit - Ocean Governance, Law of the Sea, Arctic policy "
5,Intergovernmental Organizations,European Commission,Mr John Brincat,Lead BBNJ-SDG 14 /Dir. B — International affairs and markets 
5,Intergovernmental Organizations,European Investment Bank,Mr Pierre-Emmanuel Noel,Senior banker
5,Intergovernmental Organizations,UNESCO-Intergovernmental Oceanographic Commission,Mr Ariel Troisi,IOC Vice-chair and Co-Chair IOC IWG on BBNJ
5,Intergovernmental Organizations,UNESCO-Intergovernmental Oceanographic Commission,Mr Vladimir Ryabinin,"Executive Secretary IOC, Assistant Director General UNESCO"
5,Intergovernmental Organizations,UNESCO-Intergovernmental Oceanographic Commission,Mr Peter Pissierssens,"Head IOC Capacity Development, and IODE"
5,Intergovernmental Organizations,UNESCO-Intergovernmental Oceanographic Commission,Mrs Claudia Delgado,IOC OceanTeacher training coordinator
5,Intergovernmental Organizations,UNESCO-Intergovernmental Oceanographic Commission,Mr Pieter Provoost,OBIS data manager
5,Intergovernmental Organizations,UNESCO-Intergovernmental Oceanographic Commission,Mrs Kristin de Lichtervelde,IOC/Ostend Secretary
6,Local Government,City of Bruges,Mr Renaat Landuyt,Mayor of City of Bruges
6,Local Government,City of Oostende,Mr Johan Vande Lanotte,Mayor City of Oostende
6,Local Government,Province of West Flanders,Mr Carl Decaluwé ,"President VLIZ, Governor of West-Flanders"
6,Local Government,Flanders Marine Institute,Mr Jan Mees,Director VLIZ
6,Local Government,Flanders Marine Institute,Mrs Tina Mertens,Assistant Director VLIZ
6,Local Government,Flanders Marine Institute,Mrs Ann-Katrien Lescrauwaet,Head Marine Policy VLIZ
7,Experts,"Institute for Sustainable Development and International Relations, France",Mr Glen Wright,Research Fellow International Marine Policy
7,Experts,Palau International Coral Reef Center,Mr Yimnang Golbuu,CEO 
7,Experts,"Université catholique de Louvain, Belgium",Mr Jean-Pascal van Ypersele,"Former IPCC Vice-Chair, Prof. Climate & Env. Sc"
7,Experts,"University of Aberdeen, Marine Biodiscovery Centre, UK",Mr Marcel Jaspars ,Professor
7,Experts,"University of Wollongong, Australia",Mrs Harriet Harden-Davies,"PhD student, BBNJ expert"
7,Experts,"University of York, UK",Mr Callum Roberts ,"Professor, Professor of Marine Conservation"
8,NGOs,Global Ocean Trust,Mr Torsten Thiele,Founder
8,NGOs,High Seas Alliance,Mrs Peggy Kalas,Director
8,NGOs,The Pew Charitable Trusts,Mr Paulus Tak,"Senior officer, International Ocean Policy"
8,NGOs,The Pew Charitable Trusts,Mr Julian Jackson,"Officer, Protecting Ocean Life on the High Seas"
8,NGOs,World Animal Protection - WAP,Mrs Ingrid Giskes,Global Head of Sea Change
8,NGOs,World Animal Protection - WAP,Ms Christabel Sadgrove,Campaign Manager Sea Change
8,NGOs,World Wildlife Fund - WWF,Mrs Daniela Diz,"Senior Officer, Marine Policy"
9,Companies,DEME,Mr Frank Verschraegen,Project manager blue energy and blue growth
9,Companies,DEME,Mrs Eva Boeckling/Mrs Vicky Cosemans,Communication manager
9,Companies,DEME,Mr Tomas Sterckx,Project manager building with nature 
9,Companies,eCOAST Marine Research,Mrs Arianna Broggiato, Senior Legal Officer
9,Companies,E-RATIONAL,Mr Brecht Desmet,Manager
9,Companies,GreenBridge,Mrs Marianne Martens,CEO
9,Companies,GreenBridge,Mrs Noémie Wouters,Liaison officer
9,Companies,Laminaria,Mr Steven Nauwelaerts,CEO
9,Companies,Laminaria,Mr Andrea Fochini,Project engineer
9,Companies,Sea2See,Mr François van den Abeele,CEO
9,Companies,Subcon,Mr Cameron Stirling,General Manager
9,Companies,Tigerpower,Mr Chris Prengels,CEO
9,Companies,Tigerpower,Mrs Jessica Reznor,Chief Technology Officer
9,Companies,Turbulent,Mr Luc Berben,Co-founder
9,Companies,Xant,Mr Alex De Broe,CEO
9,Companies,Xant,Mr Alexander Van Heuverswyn,Commercial Director
10,Academia,University of Ghent/Cartography & GIS (CartoGIS),Mr Philippe De Maeyer,"Professor"
10,Academia,University of Ghent/Cartography & GIS (CartoGIS),Mrs Hanne Glas, PhD student
10,Academia,University of Ghent/Particle and Interfacial Technology Group (PaInT),Mrs Marjolein Vanoppen,"Post-doc researcher"
10,Academia,University of Ghent/Particle and Interfacial Technology Group (PaInT),Mr Sebastiaan Derese,"PhD student"
